,date,ticker,name,action,cik
280,2008-09-22,LHX,L3Harris,added,0000202058
337,2008-09-16,HRS,Harris Corporation,added,
337,2008-09-16,LEH,Lehman Brothers,removed,
338,2008-09-12,CRM,Salesforce,added,
339,2008-09-12,FAST,Fastenal,added,
339,2008-09-12,FNM,Fannie Mae,removed,
338,2008-09-12,FRE,Freddie Mac,removed,
95,2008-08-27,CF,CF Industries,added,0001324404
257,2008-08-21,IVZ,Invesco,added,0000914208
138,2008-07-31,DVA,DaVita,added,0000927066
304,2008-07-18,MA,Mastercard,added,0001141391
340,2008-07-01,AKS,AK Steel,added,
340,2008-07-01,CFC,Countrywide Financial Corp,removed,
341,2008-06-23,BC,Brunswick,removed,
341,2008-06-23,COG,Cabot Oil & Gas,added,
129,2008-06-23,CTRA,Coterra,added,0000858470
342,2008-06-23,MEE,Massey Energy,added,
342,2008-06-23,OMX,OfficeMax,removed,
343,2008-06-10,ABK,Ambac Financial,removed,
343,2008-06-10,LO,Lorillard Tobacco Company,added,
256,2008-06-02,ISRG,Intuitive Surgical,added,0001035267
226,2008-03-31,DOC,Healthpeak Properties,added,0000765880
371,2008-03-31,PM,Philip Morris International,added,0001413329
344,2007-12-20,RRC,Range Resources,added,
344,2007-12-20,TRB,Tribune Media,removed,
345,2007-12-13,DJ,Dow Jones,removed,
345,2007-12-13,GME,GameStop,added,
28,2007-11-19,AMT,American Tower,added,0001053507
346,2007-10-26,AV,Avaya,removed,
264,2007-10-26,J,Jacobs Solutions,added,0000052988
346,2007-10-26,JEC,Jacobs Engineering Group,added,
185,2007-10-10,EXPD,Expeditors International,added,0000746515
347,2007-10-02,EXPE,Expedia,added,
347,2007-10-02,SLR,Solectron,removed,
348,2007-10-01,NCR,NCR Corporation,removed,
348,2007-10-01,TDC,Teradata,added,
349,2007-09-27,MXIM,Maxim Integrated Products,removed,
349,2007-09-27,TSO,Tesoro Corporation,added,
350,2007-09-26,FDC,First Data,removed,
350,2007-09-26,ICE,Intercontinental Exchange,added,
315,2007-09-07,MCHP,Microchip Technology,added,0000827054
351,2007-08-24,KSE,KeySpan,removed,
351,2007-08-24,LUK,Leucadia National,added,
12,2007-07-12,AKAM,Akamai Technologies,added,0001086222
352,2007-07-02,ADCT,ADC Telecommunications,removed,
352,2007-07-02,DFS,Discover Financial,added,
45,2007-04-10,AIZ,Assurant,added,0001267238
353,2007-03-30,KFT,Kraft Foods,added,
353,2007-03-30,TSG,Sabre Corporation,removed,
235,2007-03-20,HST,Host Hotels & Resorts,added,0001070750
78,2007-03-02,CHRW,C.H. Robinson,added,0001043277
390,2007-02-02,RL,Ralph Lauren Corporation,added,0001037038
354,2007-01-10,AVB,AvalonBay Communities,added,
354,2007-01-10,SBL,Symbol Technologies,removed,
113,2006-11-17,CTSH,Cognizant,added,0001058290
90,2006-11-10,CBRE,CBRE Group,added,0001138118
194,2006-11-10,FIS,Fidelity National Information Services,added,0001136893
110,2006-08-11,CME,CME Group,added,0001156375
355,2006-06-02,ABS,Albertsons,removed,
355,2006-06-02,JNPR,Juniper Networks,added,
274,2006-04-04,KIM,Kimco Realty,added,0000879101
77,2006-04-03,BXP,"BXP, Inc.",added,0001037540
20,2006-04-03,GOOG,Alphabet Inc. (Class C),added,0001652044
469,2006-02-01,VRSN,Verisign,added,0001014473
178,2006-01-05,EL,Estée Lauder Companies (The),added,0001001250
356,2005-11-18,AMZN,Amazon,added,
356,2005-11-18,T,AT&T Corporation,removed,
286,2005-10-04,LEN,Lennar,added,0000920760
30,2005-10-03,AMP,Ameriprise Financial,added,0000820027
385,2005-08-19,PSA,Public Storage,added,0001393311
455,2005-08-10,TSN,Tyson Foods,added,0000100493
357,2005-07-01,GLK,Great Lakes Chemical,removed,
357,2005-07-01,STZ,Constellation Brands,added,
155,2005-06-22,DHI,D. R. Horton,added,0000882184
281,2004-11-01,LH,Labcorp,added,0000920148
434,2004-09-01,TPR,"Tapestry, Inc.",added,0001116132
444,2004-08-03,TMO,Thermo Fisher Scientific,added,0000097745
217,2004-07-01,GILD,Gilead Sciences,added,0000882095
473,2004-04-23,VTRS,Viatris,added,0001792044
297,2004-02-23,MTB,M&T Bank,added,0000036270
62,2003-11-13,BIIB,Biogen,added,0000875045
358,2003-09-25,ESRX,Express Scripts,added,
358,2003-09-25,QTRN,Quintiles Transnational,removed,
381,2003-07-17,PLD,Prologis,added,0001045609
211,2003-03-25,GEN,Gen Digital,added,0000849399
306,2003-03-20,MKC,McCormick & Company,added,0000063754
423,2003-03-14,STT,State Street Corporation,added,0000093751
466,2002-12-20,VLO,Valero Energy,added,0001035002
389,2002-12-12,DGX,Quest Diagnostics,added,0001022079
116,2002-11-19,CMCSA,Comcast,added,0001166691
451,2002-08-21,TRV,Travelers Companies (The),added,0000086312
166,2002-07-25,ELV,Elevance Health,added,0001156039
165,2002-07-22,EA,Electronic Arts,added,0000712515
161,2002-07-22,EBAY,eBay Inc.,added,0001065088
221,2002-07-22,GS,Goldman Sachs,added,0000886982
378,2002-07-22,PFG,Principal Financial Group,added,0001126328
382,2002-07-22,PRU,Prudential Financial,added,0001137774
462,2002-07-22,UPS,United Parcel Service,added,0001090727
413,2002-06-26,SPG,Simon Property Group,added,0001063761
485,2002-01-02,WAT,Waters Corporation,added,0001000697
175,2001-12-03,EQR,Equity Residential,added,0000906107
347,2001-11-30,NVDA,Nvidia,added,0001045810
377,2001-10-01,PPL,PPL Corporation,added,0000922224
92,2001-08-30,COR,Cencora,added,0001140859
501,2001-08-07,ZBH,Zimmer Biomet,added,0001136869
198,2001-04-02,FI,Fiserv,added,0000798354
441,2001-03-12,TXN,Texas Instruments,added,0000097476
105,2001-03-01,CTAS,Cintas,added,0000723254
426,2000-12-12,SYK,Stryker Corporation,added,0000310764
312,2000-12-11,MET,MetLife,added,0001099219
362,2000-12-05,ABK,Ambac Financial,added,
361,2000-12-05,AYE,Allegheny Energy,added,
359,2000-12-05,BS,Bethlehem Steel,removed,
362,2000-12-05,CCK,Crown Holdings,removed,
361,2000-12-05,GRA,WR Grace,removed,
359,2000-12-05,INTU,Intuit,added,
360,2000-12-05,OI,Owens-Illinois,removed,
360,2000-12-05,SBL,Symbol Technologies,added,
170,2000-11-02,EOG,EOG Resources,added,0000821189
339,2000-11-02,NI,NiSource,added,0001111711
144,2000-08-30,DVN,Devon Energy,added,0001090012
363,2000-07-27,JDSU,JDS Uniphase,added,
363,2000-07-27,RAD,Rite Aid,removed,
364,2000-06-12,CVG,Convergys,added,
364,2000-06-12,TMC,Times Mirror,removed,
365,2000-06-07,SBUX,Starbucks,added,
365,2000-06-07,SMS,Shared Medical Systems,removed,
9,2000-06-05,A,Agilent Technologies,added,0001090872
400,2000-03-12,ROK,Rockwell Automation,added,0001024478
366,1999-12-08,LDW,Laidlaw,removed,
366,1999-12-08,YHOO,Yahoo!,added,
456,1999-11-01,USB,U.S. Bancorp,added,0000036104
34,1999-10-12,ADI,Analog Devices,added,0000006281
373,1999-10-04,PNW,Pinnacle West Capital,added,0000764622
388,1999-07-22,QCOM,Qualcomm,added,0000804328
477,1999-06-30,VMC,Vulcan Materials Company,added,0001396009
60,1999-06-29,BBY,Best Buy,added,0000764478
332,1999-06-25,NTAP,NetApp,added,0001002047
367,1999-06-09,HPH,Harnischfeger Industries,removed,
367,1999-06-09,WLP,Wellpoint,added,
8,1999-05-28,AFL,Aflac,added,0000004977
368,1999-04-12,ACT,Actavis,added,
369,1998-12-11,AN,Amoco,removed,
370,1998-12-11,CCL,Carnival Corp.,added,
371,1998-12-11,CPWR,Compuware,added,
